Subject,N,Accuracy,Macro F1,Cohen κ,Wake F1,N1 F1,N2 F1,N3 F1,REM F1
SN1,901,65.59,57.14,0.529,37.0,25.3,73.5,86.7,63.3
SN2,730,73.97,63.26,0.636,60.9,27.1,78.3,86.7,63.4
SN3,1640,68.35,64.57,0.585,74.3,26.7,72.1,85.1,64.7
SN4,965,51.71,41.34,0.356,46.7,33.7,75.5,47.1,3.6
SN5,890,24.38,22.93,0.077,33.7,0.0,2.3,60.5,18.2
